Id_ARTICOLO              ;AAR_DESCRIZ                                       ;AAR_DESCRIZAGG                                    ;AAR_ART_TIPO        ;AAR_COD_MADRE        ;AAR_COD_RADICE       ;AAR_ID_UM                ;AAR_LISVEN01;AAR_LISVEN02;AAR_LISVEN03;AAR_LISVEN04;AAR_LISACQO1;AAR_ID_CLIFOR            ;AAR_LISACQO2;AAR_ID_CLIFOR_2         ;emptyColumn
AWKPA2                   ;PANTALONE WORK     MULTITASCHE POL/COT.           ;GR 240 X MTQ                                      ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPA2BL                 ;PANTALONE WORK BLU MULTITASCHE 65%POL-35%COT.     ;GR 240 X MTQ                                      ;ART-MADRE           ;                     ;                     ;NR                       ;7,5;7,8;            ;7,3;            ;0;            ;0;
AWKPA2BL L               ;PANTALONE WORK BLU MULTITASCHE POL/COT.           ;                                                  ;ART-CODICE          ;AWKPA2BL             ;AWKPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPA2BL M               ;PANTALONE WORK BLU MULTITASCHE POL/COT.           ;                                                  ;ART-CODICE          ;AWKPA2BL             ;AWKPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPA2BL S               ;PANTALONE WORK BLU MULTITASCHE POL/COT.           ;                                                  ;ART-CODICE          ;AWKPA2BL             ;AWKPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPA2BLLL               ;PANTALONE WORK BLU MULTITASCHE POL/COT.           ;                                                  ;ART-CODICE          ;AWKPA2BL             ;AWKPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPA2BLXL               ;PANTALONE WORK BLU MULTITASCHE POL/COT.           ;                                                  ;ART-CODICE          ;AWKPA2BL             ;AWKPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPA2BLXX               ;PANTALONE WORK BLU MULTITASCHE POL/COT.           ;                                                  ;ART-CODICE          ;AWKPA2BL             ;AWKPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPA2GR                 ;PANTALONE WORK GRIGIO MULTITASCHE POL/COT.        ;GR 240 X MTQ                                      ;ART-MADRE           ;                     ;                     ;NR                       ;7,5;7,8;            ;7,3;            ;0;            ;0;
AWKPA2GR L               ;PANTALONE WORK GRIGIO MULTITASCHE POL/COT.        ;                                                  ;ART-CODICE          ;AWKPA2GR             ;AWKPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPA2GR M               ;PANTALONE WORK GRIGIO MULTITASCHE POL/COT.        ;                                                  ;ART-CODICE          ;AWKPA2GR             ;AWKPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPA2GR S               ;PANTALONE WORK GRIGIO MULTITASCHE POL/COT.        ;                                                  ;ART-CODICE          ;AWKPA2GR             ;AWKPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPA2GRLL               ;PANTALONE WORK GRIGIO MULTITASCHE POL/COT.        ;                                                  ;ART-CODICE          ;AWKPA2GR             ;AWKPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPA2GRXL               ;PANTALONE WORK GRIGIO MULTITASCHE POL/COT.        ;                                                  ;ART-CODICE          ;AWKPA2GR             ;AWKPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPA2GRXX               ;PANTALONE WORK GRIGIO MULTITASCHE POL/COT.        ;                                                  ;ART-CODICE          ;AWKPA2GR             ;AWKPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPA2VE                 ;PANTALONE WORK VERDE MULTITASCHE 65%POL-35%COT.   ;GR 240 X MTQ                                      ;ART-MADRE           ;                     ;                     ;NR                       ;7,5;7,8;            ;7,3;            ;0;            ;0;
AWKPA2VE L               ;PANTALONE WORK VERDE MULTITASCHE 65%POL-35%COT.   ;                                                  ;ART-CODICE          ;AWKPA2VE             ;AWKPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPA2VE M               ;PANTALONE WORK VERDE MULTITASCHE 65%POL-35%COT.   ;                                                  ;ART-CODICE          ;AWKPA2VE             ;AWKPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPAN                   ;PANTALONE WORK MULTITASCHE POL/COT.               ;GR 240 X MTQ                                      ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPANBL                 ;PANTALONE WORK BLU MULTITASCHE 65%POL-35%COT.     ;GR 240 X MTQ                                      ;ART-MADRE           ;                     ;                     ;NR                       ;7,5;7,8;            ;7,3;            ;0;            ;0;
AWKPANBL L               ;PANTALONE WORK BLU MULTITASCHE POL/COT.           ;                                                  ;ART-CODICE          ;AWKPANBL             ;AWKPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPANBL M               ;PANTALONE WORK BLU MULTITASCHE POL/COT.           ;                                                  ;ART-CODICE          ;AWKPANBL             ;AWKPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPANBL S               ;PANTALONE WORK BLU MULTITASCHE POL/COT.           ;                                                  ;ART-CODICE          ;AWKPANBL             ;AWKPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPANBLLL               ;PANTALONE WORK BLU MULTITASCHE POL/COT.           ;                                                  ;ART-CODICE          ;AWKPANBL             ;AWKPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPANBLXL               ;PANTALONE WORK BLU MULTITASCHE POL/COT.           ;                                                  ;ART-CODICE          ;AWKPANBL             ;AWKPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPANBLXX               ;PANTALONE WORK BLU MULTITASCHE POL/COT.           ;                                                  ;ART-CODICE          ;AWKPANBL             ;AWKPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPANGR                 ;PANTALONE WORK GRIGIO MULTITASCHE 65%POL.-35%COT. ;GR 240 X MTQ                                      ;ART-MADRE           ;                     ;                     ;NR                       ;7,5;7,8;            ;7,3;            ;0;            ;0;
AWKPANGR L               ;PANTALONE WORK GRIGIO MULTITASCHE POL/COT.        ;                                                  ;ART-CODICE          ;AWKPANGR             ;AWKPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPANGR M               ;PANTALONE WORK GRIGIO MULTITASCHE POL/COT.        ;                                                  ;ART-CODICE          ;AWKPANGR             ;AWKPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPANGR S               ;PANTALONE WORK GRIGIO MULTITASCHE POL/COT.        ;                                                  ;ART-CODICE          ;AWKPANGR             ;AWKPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AWKPANGRLL               ;PANTALONE WORK GRIGIO MULTITASCHE POL/COT.        ;                                                  ;ART-CODICE          ;AWKPANGR             ;AWKPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
