Id_ARTICOLO              ;AAR_DESCRIZ                                       ;AAR_DESCRIZAGG                                    ;AAR_ART_TIPO        ;AAR_COD_MADRE        ;AAR_COD_RADICE       ;AAR_ID_UM                ;AAR_LISVEN01;AAR_LISVEN02;AAR_LISVEN03;AAR_LISVEN04;AAR_LISACQO1;AAR_ID_CLIFOR            ;AAR_LISACQO2;AAR_ID_CLIFOR_2         ;emptyColumn
AA2TUT                   ;TUTA ALTA VISIBILITA'                             ;255 GR                                            ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AA2TUTAR                 ;TUTA ALTA VISIB.ARANCIO                           ;210 GR                                            ;ART-MADRE           ;                     ;                     ;NR                       ;23,43;24,78;            ;23,43;            ;0;            ;0;
AA2TUTAR L               ;TUTA ALTA VISIB.ARANCIO                           ;                                                  ;ART-CODICE          ;AA2TUTAR             ;AA2TUT               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AA2TUTARXL               ;TUTA ALTA VISIB.ARANCIO                           ;                                                  ;ART-CODICE          ;AA2TUTAR             ;AA2TUT               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AA2TUTARXX               ;TUTA ALTA VISIB.ARANCIO                           ;                                                  ;ART-CODICE          ;AA2TUTAR             ;AA2TUT               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGI3                   ;GIUBBINO ALTA VISIBILITA'                         ;210 GR                                            ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGI3AR                 ;GIUBBINO ALTA VIS.ARANCIO                         ;210 GR                                            ;ART-MADRE           ;                     ;                     ;NR                       ;14,09;14,83;            ;14,09;            ;0;            ;0;
AAVGI3AR48               ;GIUBBINO ALTA VIS.ARANCIO                         ;                                                  ;ART-CODICE          ;AAVGI3AR             ;AAVGI3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGI3AR50               ;GIUBBINO ALTA VIS.ARANCIO                         ;                                                  ;ART-CODICE          ;AAVGI3AR             ;AAVGI3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGI3AR52               ;GIUBBINO ALTA VIS.ARANCIO                         ;                                                  ;ART-CODICE          ;AAVGI3AR             ;AAVGI3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGI3AR54               ;GIUBBINO ALTA VIS.ARANCIO                         ;                                                  ;ART-CODICE          ;AAVGI3AR             ;AAVGI3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGI3AR56               ;GIUBBINO ALTA VIS.ARANCIO                         ;                                                  ;ART-CODICE          ;AAVGI3AR             ;AAVGI3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGIU                   ;GIUBBINO ALTA VISIBILITA'                         ;270 GR                                            ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGIUAR                 ;GIUBBINO ALTA VIS.ARANCIO                         ;270 GR                                            ;ART-MADRE           ;                     ;                     ;NR                       ;14,09;14,83;            ;14,09;            ;0;            ;0;
AAVGIUAR44               ;GIUBBINO ALTA VIS.ARANCIO                         ;                                                  ;ART-CODICE          ;AAVGIUAR             ;AAVGIU               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGIUAR48               ;GIUBBINO ALTA VIS.ARANCIO                         ;                                                  ;ART-CODICE          ;AAVGIUAR             ;AAVGIU               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGIUAR52               ;GIUBBINO ALTA VIS.ARANCIO                         ;                                                  ;ART-CODICE          ;AAVGIUAR             ;AAVGIU               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGIUAR54               ;GIUBBINO ALTA VIS.ARANCIO                         ;                                                  ;ART-CODICE          ;AAVGIUAR             ;AAVGIU               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGIUAR56               ;GIUBBINO ALTA VIS.ARANCIO                         ;                                                  ;ART-CODICE          ;AAVGIUAR             ;AAVGIU               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVGIUAR58               ;GIUBBINO ALTA VIS.ARANCIO                         ;                                                  ;ART-CODICE          ;AAVGIUAR             ;AAVGIU               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPA3                   ;PANTALONE ALTA VISIBILITA'                        ;210 GR                                            ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPA3AR                 ;PANTALONE ALTA VIS.ARANCIO                        ;210 GR                                            ;ART-MADRE           ;                     ;                     ;NR                       ;10,78;11,4;            ;10,78;            ;0;            ;0;
AAVPA3AR42               ;PANTALONE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVPA3AR             ;AAVPA3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPA3AR44               ;PANTALONE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVPA3AR             ;AAVPA3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPA3AR46               ;PANTALONE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVPA3AR             ;AAVPA3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPA3AR48               ;PANTALONE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVPA3AR             ;AAVPA3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPA3AR50               ;PANTALONE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVPA3AR             ;AAVPA3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPA3AR52               ;PANTALONE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVPA3AR             ;AAVPA3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPA3AR54               ;PANTALONE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVPA3AR             ;AAVPA3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPA3AR56               ;PANTALONE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVPA3AR             ;AAVPA3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPA3AR58               ;PANTALONE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVPA3AR             ;AAVPA3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPA3AR60               ;PANTALONE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVPA3AR             ;AAVPA3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPA3AR62               ;PANTALONE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVPA3AR             ;AAVPA3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPAN                   ;PANTALONE ALTA VISIBILITA'                        ;270 GR                                            ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPANAR                 ;PANTALONE ALTA VIS.ARANCIO                        ;255 GR                                            ;ART-MADRE           ;                     ;                     ;NR                       ;10,78;11,4;            ;10,78;            ;0;            ;0;
AAVPANAR44               ;PANTALONE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVPANAR             ;AAVPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPANAR52               ;PANTALONE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVPANAR             ;AAVPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPANAR60               ;PANTALONE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVPANAR             ;AAVPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPANAR64               ;PANTALONE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVPANAR             ;AAVPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPIL                   ;GIACCA PILOT ALTA VISIBILITA'                     ;100% POLYESTERE CON SPALMATURA IN POLIURETANO     ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPILAR                 ;GIACCA PILOT ALTA VISIBILITA' ARANCIO             ;100% POLYESTERE CON SPALMATURA IN POLIURETANO     ;ART-MADRE           ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPILAR L               ;GIACCA PILOT ALTA VISIBILITA' ARANCIO             ;                                                  ;ART-CODICE          ;AAVPILAR             ;AAVPIL               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPILAR M               ;GIACCA PILOT ALTA VISIBILITA' ARANCIO             ;                                                  ;ART-CODICE          ;AAVPILAR             ;AAVPIL               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPILAR S               ;GIACCA PILOT ALTA VISIBILITA' ARANCIO             ;                                                  ;ART-CODICE          ;AAVPILAR             ;AAVPIL               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPILARLL               ;GIACCA PILOT ALTA VISIBILITA' ARANCIO             ;                                                  ;ART-CODICE          ;AAVPILAR             ;AAVPIL               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPILARXL               ;GIACCA PILOT ALTA VISIBILITA' ARANCIO             ;                                                  ;ART-CODICE          ;AAVPILAR             ;AAVPIL               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPILARXX               ;GIACCA PILOT ALTA VISIBILITA' ARANCIO             ;                                                  ;ART-CODICE          ;AAVPILAR             ;AAVPIL               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR2                   ;PARKA ALTA VISIBILITA'                            ;100% POLYESTERE                                   ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR2AR                 ;PARKA ALTA VIS.STACC.ARANCIO                      ;100% POLYESTERE                                   ;ART-MADRE           ;                     ;                     ;NR                       ;47,5;49,4;            ;45,6;            ;0;            ;0;
AAVPR2ARXL               ;PARKA ALTA VIS.STACC.ARANCIO                      ;                                                  ;ART-CODICE          ;AAVPR2AR             ;AAVPR2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR5                   ;PARKA ALTA VISIBILITA' 5 USI                      ;                                                  ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR5AB                 ;PARKA ALTA VIS.5 USI ARANCIO/BLU                  ;                                                  ;ART-MADRE           ;                     ;                     ;NR                       ;53,9;53,9;            ;53,9;            ;0;            ;0;
AAVPR5AB L               ;PARKA ALTA VIS.5 USI ARANCIO/BLU                  ;                                                  ;ART-CODICE          ;AAVPR5AB             ;AAVPR5               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR5AB M               ;PARKA ALTA VIS.5 USI ARANCIO/BLU                  ;                                                  ;ART-CODICE          ;AAVPR5AB             ;AAVPR5               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR5AB S               ;PARKA ALTA VIS.5 USI ARANCIO/BLU                  ;                                                  ;ART-CODICE          ;AAVPR5AB             ;AAVPR5               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR5ABLL               ;PARKA ALTA VIS.5 USI ARANCIO/BLU                  ;                                                  ;ART-CODICE          ;AAVPR5AB             ;AAVPR5               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR5ABXL               ;PARKA ALTA VIS.5 USI ARANCIO/BLU                  ;                                                  ;ART-CODICE          ;AAVPR5AB             ;AAVPR5               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR5ABXX               ;PARKA ALTA VIS.5 USI ARANCIO/BLU                  ;                                                  ;ART-CODICE          ;AAVPR5AB             ;AAVPR5               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR5AR                 ;PARKA ALTA VIS.5 USI ARANCIO                      ;AD ESAURIMENTO                                    ;ART-MADRE           ;                     ;                     ;NR                       ;47,9;49,4;            ;47,9;            ;0;            ;0;
AAVPR5AR L               ;PARKA ALTA VIS.5 USI ARANCIO                      ;                                                  ;ART-CODICE          ;AAVPR5AR             ;AAVPR5               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR5AR M               ;PARKA ALTA VIS.5 USI ARANCIO                      ;                                                  ;ART-CODICE          ;AAVPR5AR             ;AAVPR5               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR5ARXL               ;PARKA ALTA VIS.5 USI ARANCIO                      ;                                                  ;ART-CODICE          ;AAVPR5AR             ;AAVPR5               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR5GB                 ;PARKA ALTA VIS.5 USI GIALLO/BLU                   ;                                                  ;ART-MADRE           ;                     ;                     ;NR                       ;53,9;53,9;            ;53,9;            ;0;            ;0;
AAVPR5GB L               ;PARKA ALTA VIS.5 USI GIALLO/BLU                   ;                                                  ;ART-CODICE          ;AAVPR5GB             ;AAVPR5               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR5GB M               ;PARKA ALTA VIS.5 USI GIALLO/BLU                   ;                                                  ;ART-CODICE          ;AAVPR5GB             ;AAVPR5               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR5GB S               ;PARKA ALTA VIS.5 USI GIALLO/BLU                   ;                                                  ;ART-CODICE          ;AAVPR5GB             ;AAVPR5               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR5GBLL               ;PARKA ALTA VIS.5 USI GIALLO/BLU                   ;                                                  ;ART-CODICE          ;AAVPR5GB             ;AAVPR5               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR5GBXL               ;PARKA ALTA VIS.5 USI GIALLO/BLU                   ;                                                  ;ART-CODICE          ;AAVPR5GB             ;AAVPR5               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPR5GBXX               ;PARKA ALTA VIS.5 USI GIALLO/BLU                   ;                                                  ;ART-CODICE          ;AAVPR5GB             ;AAVPR5               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPRK                   ;PARKA ALTA VIS. FISSO                             ;100% POLYESTERE                                   ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPRKAB                 ;PARKA ALTA VIS.FISSO ARANCIO/BLU                  ;                                                  ;ART-MADRE           ;                     ;                     ;NR                       ;27,5;28,2;            ;27,5;            ;0;            ;0;
AAVPRKAB L               ;PARKA ALTA VIS.FISSO ARANCIO/BLU                  ;                                                  ;ART-CODICE          ;AAVPRKAB             ;AAVPRK               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPRKAR                 ;PARKA ALTA VIS.FISSO ARANCIO                      ;100% POLYESTERE                                   ;ART-MADRE           ;                     ;                     ;NR                       ;27,5;28,2;            ;27,5;            ;0;            ;0;
AAVPRKAR L               ;PARKA ALTA VIS.FISSO ARANCIO                      ;                                                  ;ART-CODICE          ;AAVPRKAR             ;AAVPRK               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPRKAR M               ;PARKA ALTA VIS.FISSO ARANCIO                      ;                                                  ;ART-CODICE          ;AAVPRKAR             ;AAVPRK               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPRKARXL               ;PARKA ALTA VIS.FISSO ARANCIO                      ;                                                  ;ART-CODICE          ;AAVPRKAR             ;AAVPRK               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVPRKARXX               ;PARKA ALTA VIS.FISSO ARANCIO                      ;BOTTONE NON A VISTA                               ;ART-CODICE          ;AAVPRKAR             ;AAVPRK               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVSAL                   ;SALOPETTE ALTA VISIBILITA'                        ;270 GR                                            ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVSALAR                 ;SALOPETTE ALTA VIS.ARANCIO                        ;270 GR                                            ;ART-MADRE           ;                     ;                     ;NR                       ;14,34;15,14;            ;14,34;            ;0;            ;0;
AAVSALAR56               ;SALOPETTE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVSALAR             ;AAVSAL               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVSALAR58               ;SALOPETTE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVSALAR             ;AAVSAL               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVSALAR60               ;SALOPETTE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVSALAR             ;AAVSAL               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVSALAR62               ;SALOPETTE ALTA VIS.ARANCIO                        ;                                                  ;ART-CODICE          ;AAVSALAR             ;AAVSAL               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVTU3                   ;TUTA ALTA VISIBILITA'                             ;210 GR                                            ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVTU3AR                 ;TUTA ALTA VISIBILITA' ARANCIO                     ;210 GR                                            ;ART-MADRE           ;                     ;                     ;NR                       ;23,43;24,78;            ;23,43;            ;0;            ;0;
AAVTU3AR48               ;TUTA ALTA VISIBILITA' ARANCIO                     ;                                                  ;ART-CODICE          ;AAVTU3AR             ;AAVTU3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVTU3AR50               ;TUTA ALTA VISIBILITA' ARANCIO                     ;                                                  ;ART-CODICE          ;AAVTU3AR             ;AAVTU3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVTU3AR52               ;TUTA ALTA VISIBILITA' ARANCIO                     ;                                                  ;ART-CODICE          ;AAVTU3AR             ;AAVTU3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVTU3AR54               ;TUTA ALTA VISIBILITA' ARANCIO                     ;                                                  ;ART-CODICE          ;AAVTU3AR             ;AAVTU3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVTU3AR56               ;TUTA ALTA VISIBILITA' ARANCIO                     ;                                                  ;ART-CODICE          ;AAVTU3AR             ;AAVTU3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVTU3AR58               ;TUTA ALTA VISIBILITA' ARANCIO                     ;                                                  ;ART-CODICE          ;AAVTU3AR             ;AAVTU3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVTU3AR60               ;TUTA ALTA VISIBILITA' ARANCIO                     ;                                                  ;ART-CODICE          ;AAVTU3AR             ;AAVTU3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVTU3AR64               ;TUTA ALTA VISIBILITA' ARANCIO                     ;                                                  ;ART-CODICE          ;AAVTU3AR             ;AAVTU3               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVTUT                   ;TUTA ALTA VISIBILITA'                             ;270 GR                                            ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVTUTAR                 ;TUTA ALTA VISIB.ARANCIO                           ;270 GR                                            ;ART-MADRE           ;                     ;                     ;NR                       ;23,43;24,78;            ;23,43;            ;0;            ;0;
AAVTUTAR48               ;TUTA ALTA VISIB.ARANCIO                           ;                                                  ;ART-CODICE          ;AAVTUTAR             ;AAVTUT               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVTUTAR50               ;TUTA ALTA VISIB.ARANCIO                           ;                                                  ;ART-CODICE          ;AAVTUTAR             ;AAVTUT               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVTUTAR60               ;TUTA ALTA VISIB.ARANCIO                           ;                                                  ;ART-CODICE          ;AAVTUTAR             ;AAVTUT               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
AAVTUTAR62               ;TUTA ALTA VISIB.ARANCIO                           ;                                                  ;ART-CODICE          ;AAVTUTAR             ;AAVTUT               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACADPC                   ;CAMICE DONNA P/C                                  ;                                                  ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACADPCWH                 ;CAMICE DONNA C/BOTT.PRESS.BIANCO 65%POL.-35%COT.  ;                                                  ;ART-MADRE           ;                     ;                     ;NR                       ;7,9;8,3;            ;7,5;            ;0;            ;0;
ACADPCWH L               ;CAMICE DONNA C/BOTT.PRESS.BIANCO 65%POL.-35%COT.  ;                                                  ;ART-CODICE          ;ACADPCWH             ;ACADPC               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACADPCWH M               ;CAMICE DONNA C/BOTT.PRESS.BIANCO 65%POL.-35%COT.  ;                                                  ;ART-CODICE          ;ACADPCWH             ;ACADPC               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACADPCWH S               ;CAMICE DONNA C/BOTT.PRESS.BIANCO 65%POL.-35%COT.  ;                                                  ;ART-CODICE          ;ACADPCWH             ;ACADPC               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACADPCWHXL               ;CAMICE DONNA C/BOTT.PRESS.BIANCO 65%POL.-35%COT.  ;                                                  ;ART-CODICE          ;ACADPCWH             ;ACADPC               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKI                   ;CAMICE KIPARIS COT. 100%                          ;GR 240X MTQ                                       ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIAZ                 ;CAMICE KIPARIS AZZURRO COT. 100%                  ;240 GR X MTQ                                      ;ART-MADRE           ;                     ;                     ;NR                       ;7,2;7,55;            ;6,9;            ;0;            ;0;
ACAMKIAZ L               ;CAMICE KIPARIS AZZ 240 GR X MTQ                   ;                                                  ;ART-CODICE          ;ACAMKIAZ             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIAZ M               ;CAMICE KIPARIS AZZ 240 GR X MTQ                   ;                                                  ;ART-CODICE          ;ACAMKIAZ             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIAZ S               ;CAMICE KIPARIS AZZ 240 GR X MTQ                   ;                                                  ;ART-CODICE          ;ACAMKIAZ             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIAZLL               ;CAMICE KIPARIS AZZ 240 GR X MTQ XXXL              ;                                                  ;ART-CODICE          ;ACAMKIAZ             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIAZXL               ;CAMICE KIPARIS AZZ 240 GR X MTQ                   ;                                                  ;ART-CODICE          ;ACAMKIAZ             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIAZXX               ;CAMICE KIPARIS AZZ 240 GR X MTQ XXL               ;                                                  ;ART-CODICE          ;ACAMKIAZ             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIBI                 ;CAMICE KIPARIS BIANCO COT. 100%                   ;240 GR X MTQ                                      ;ART-MADRE           ;                     ;                     ;NR                       ;6,2;6,55;            ;6;            ;0;            ;0;
ACAMKIBI L               ;CAMICE KIPARIS B.CO 240 GR X MTQ                  ;                                                  ;ART-CODICE          ;ACAMKIBI             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIBI M               ;CAMICE KIPARIS B.CO 240 GR X MTQ                  ;                                                  ;ART-CODICE          ;ACAMKIBI             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIBI S               ;CAMICE KIPARIS B.CO 240 GR X MTQ                  ;                                                  ;ART-CODICE          ;ACAMKIBI             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIBILL               ;CAMICE KIPARIS B.CO 240 GR X MTQ                  ;                                                  ;ART-CODICE          ;ACAMKIBI             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIBIXL               ;CAMICE KIPARIS B.CO 240 GR X MTQ                  ;                                                  ;ART-CODICE          ;ACAMKIBI             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIBIXX               ;CAMICE KIPARIS B.CO 240 GR X MTQ                  ;                                                  ;ART-CODICE          ;ACAMKIBI             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIBL                 ;CAMICE KIPARIS BLU COT. 100%                      ;GR 240 X MTQ                                      ;ART-MADRE           ;                     ;                     ;NR                       ;6,9;7,25;            ;6,7;            ;0;            ;0;
ACAMKIBL L               ;CAMICE KIPARIS BLU 240 GR X MTQ                   ;                                                  ;ART-CODICE          ;ACAMKIBL             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIBL M               ;CAMICE KIPARIS BLU 240 GR X MTQ                   ;                                                  ;ART-CODICE          ;ACAMKIBL             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIBL S               ;CAMICE KIPARIS BLU 240 GR X MTQ                   ;                                                  ;ART-CODICE          ;ACAMKIBL             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIBLLL               ;CAMICE KIPARIS BLU 240 GR X MTQ                   ;                                                  ;ART-CODICE          ;ACAMKIBL             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIBLXL               ;CAMICE KIPARIS BLU 240 GR X MTQ                   ;                                                  ;ART-CODICE          ;ACAMKIBL             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIBLXX               ;CAMICE KIPARIS BLU 240 GR X MTQ                   ;                                                  ;ART-CODICE          ;ACAMKIBL             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIGR                 ;CAMICE KIPARIS GRIGIO COT. 100%                   ;GR 240 X MTQ                                      ;ART-MADRE           ;                     ;                     ;NR                       ;7,2;7,55;            ;6,9;            ;0;            ;0;
ACAMKIGR L               ;CAMICE KIPARIS GRIGIO COT. 100%                   ;                                                  ;ART-CODICE          ;ACAMKIGR             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIGR M               ;CAMICE KIPARIS GRIGIO COT. 100%                   ;                                                  ;ART-CODICE          ;ACAMKIGR             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIGR S               ;CAMICE KIPARIS GRIGIO COT. 100%                   ;                                                  ;ART-CODICE          ;ACAMKIGR             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIGRLL               ;CAMICE KIPARIS GRIGIO COT. 100%                   ;                                                  ;ART-CODICE          ;ACAMKIGR             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIGRXL               ;CAMICE KIPARIS GRIGIO COT. 100%                   ;                                                  ;ART-CODICE          ;ACAMKIGR             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIGRXX               ;CAMICE KIPARIS GRIGIO COT. 100%                   ;                                                  ;ART-CODICE          ;ACAMKIGR             ;ACAMKI               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ACAMKIVE                 ;CAMICE KIPARIS VERDE COT. 100%                    ;                                                  ;ART-MADRE           ;                     ;                     ;NR                       ;7,2;7,55;            ;6,9;            ;0;            ;0;
